subject,condition,load,epoch,lag_ms,digit_pos,r
sub-033,memory,5,trial_082.csv,-500,1,0.5520010094711436
sub-033,memory,5,trial_082.csv,-500,2,-0.546258693454433
sub-033,memory,5,trial_082.csv,-500,3,-0.1618749365791714
sub-033,memory,5,trial_082.csv,-500,4,-0.27061010943616415
sub-033,memory,5,trial_082.csv,-500,5,0.03240472763087768
sub-033,memory,5,trial_084.csv,-500,1,0.2177678378096372
sub-033,memory,5,trial_084.csv,-500,2,0.7401242380273916
sub-033,memory,5,trial_084.csv,-500,3,0.13930750142410964
sub-033,memory,5,trial_084.csv,-500,4,-0.31110652340253003
sub-033,memory,5,trial_084.csv,-500,5,-0.13722058024560688
sub-033,memory,5,trial_094.csv,-500,1,-0.25575674081172445
sub-033,memory,5,trial_094.csv,-500,2,-0.05291855017128283
sub-033,memory,5,trial_094.csv,-500,3,0.24044017197109363
sub-033,memory,5,trial_094.csv,-500,4,0.1525881307129145
sub-033,memory,5,trial_094.csv,-500,5,0.05783032714572763
sub-033,memory,5,trial_095.csv,-500,1,0.0785354741583358
sub-033,memory,5,trial_095.csv,-500,2,0.07784311787456798
sub-033,memory,5,trial_095.csv,-500,3,-0.1948897587568216
sub-033,memory,5,trial_095.csv,-500,4,-0.3790786897235604
sub-033,memory,5,trial_095.csv,-500,5,0.11745218975000157
sub-033,memory,5,trial_100.csv,-500,1,0.14531522177231995
sub-033,memory,5,trial_100.csv,-500,2,-0.08208516608394292
sub-033,memory,5,trial_100.csv,-500,3,0.4885135958408906
sub-033,memory,5,trial_100.csv,-500,4,-0.5662787474855134
sub-033,memory,5,trial_100.csv,-500,5,0.5068469306409641
sub-033,memory,5,trial_103.csv,-500,1,-0.3284764676400131
sub-033,memory,5,trial_103.csv,-500,2,-0.12430594134379627
sub-033,memory,5,trial_103.csv,-500,3,0.024676691033012576
sub-033,memory,5,trial_103.csv,-500,4,-0.30153625407198253
sub-033,memory,5,trial_103.csv,-500,5,-0.18624563852546655
sub-033,memory,5,trial_112.csv,-500,1,-0.17813898359893746
sub-033,memory,5,trial_112.csv,-500,2,-0.1964011075628325
sub-033,memory,5,trial_112.csv,-500,3,-0.07141222500364694
sub-033,memory,5,trial_112.csv,-500,4,-0.06646517047745795
sub-033,memory,5,trial_112.csv,-500,5,0.11567879458498959
sub-033,memory,5,trial_118.csv,-500,1,-0.1610438587567872
sub-033,memory,5,trial_118.csv,-500,2,-0.5177198830754327
sub-033,memory,5,trial_118.csv,-500,3,-0.1737392780168142
sub-033,memory,5,trial_118.csv,-500,4,0.2650650778920009
sub-033,memory,5,trial_118.csv,-500,5,0.09696793291749821
sub-033,memory,5,trial_120.csv,-500,1,0.038255657126854664
sub-033,memory,5,trial_120.csv,-500,2,0.09913331397352002
sub-033,memory,5,trial_120.csv,-500,3,-0.043935626058365734
sub-033,memory,5,trial_120.csv,-500,4,-0.02210765519429508
sub-033,memory,5,trial_120.csv,-500,5,0.06289166197323007
sub-033,memory,5,trial_121.csv,-500,1,0.3966933354279819
sub-033,memory,5,trial_121.csv,-500,2,-0.09253090658602112
sub-033,memory,5,trial_121.csv,-500,3,0.11290130650189815
sub-033,memory,5,trial_121.csv,-500,4,-0.051990463587382726
sub-033,memory,5,trial_121.csv,-500,5,-0.4466931259289888
sub-033,memory,5,trial_132.csv,-500,1,-0.19827829198546854
sub-033,memory,5,trial_132.csv,-500,2,0.47498090459079323
sub-033,memory,5,trial_132.csv,-500,3,-0.34030559335385696
sub-033,memory,5,trial_132.csv,-500,4,-0.06602854369911727
sub-033,memory,5,trial_132.csv,-500,5,0.04579948118497865
sub-033,memory,5,trial_134.csv,-500,1,0.07300131724620623
sub-033,memory,5,trial_134.csv,-500,2,-0.23621358069503598
sub-033,memory,5,trial_134.csv,-500,3,0.040649949693669106
sub-033,memory,5,trial_134.csv,-500,4,-0.30462958647214783
sub-033,memory,5,trial_134.csv,-500,5,-0.5024123845254169
sub-033,memory,5,trial_136.csv,-500,1,-0.3209202619667907
sub-033,memory,5,trial_136.csv,-500,2,-0.34547536664158945
sub-033,memory,5,trial_136.csv,-500,3,-0.33642872970948046
sub-033,memory,5,trial_136.csv,-500,4,-0.11049481196810329
sub-033,memory,5,trial_136.csv,-500,5,-0.20112271700696965
sub-033,memory,5,trial_137.csv,-500,1,0.12638690633168706
sub-033,memory,5,trial_137.csv,-500,2,0.280463760952863
sub-033,memory,5,trial_137.csv,-500,3,0.4357911776116861
sub-033,memory,5,trial_137.csv,-500,4,-0.5907368375193581
sub-033,memory,5,trial_137.csv,-500,5,0.4479020418659141
sub-033,memory,5,trial_152.csv,-500,1,0.04457747504058826
sub-033,memory,5,trial_152.csv,-500,2,0.05073262131037245
sub-033,memory,5,trial_152.csv,-500,3,-0.01126110430216178
sub-033,memory,5,trial_152.csv,-500,4,-0.20140125043640913
sub-033,memory,5,trial_152.csv,-500,5,-0.15177917814317415
sub-033,memory,5,trial_153.csv,-500,1,-0.21459725836550683
sub-033,memory,5,trial_153.csv,-500,2,-0.05049209401173842
sub-033,memory,5,trial_153.csv,-500,3,0.5625344121183249
sub-033,memory,5,trial_153.csv,-500,4,-0.0761033382765536
sub-033,memory,5,trial_153.csv,-500,5,-0.15029438481341673
sub-033,memory,5,trial_155.csv,-500,1,-0.11052258153438037
sub-033,memory,5,trial_155.csv,-500,2,0.44901580317727885
sub-033,memory,5,trial_155.csv,-500,3,0.5714245264384318
sub-033,memory,5,trial_155.csv,-500,4,-0.1253355511593927
sub-033,memory,5,trial_155.csv,-500,5,0.4586956560433544
sub-033,memory,5,trial_156.csv,-500,1,0.02740832557747013
sub-033,memory,5,trial_156.csv,-500,2,-0.5993597892091611
sub-033,memory,5,trial_156.csv,-500,3,-0.05557457406195499
sub-033,memory,5,trial_156.csv,-500,4,0.4854416419325629
sub-033,memory,5,trial_156.csv,-500,5,0.42011314026665464
sub-033,memory,9,trial_005.csv,-500,1,0.13109207781501092
sub-033,memory,9,trial_005.csv,-500,2,0.28922724605566935
sub-033,memory,9,trial_005.csv,-500,3,-0.1214812108177939
sub-033,memory,9,trial_005.csv,-500,4,0.3966929315642421
sub-033,memory,9,trial_005.csv,-500,5,-0.22698033290915837
