Time,Mean_Power_Memory_AFz,SEM_Power_Memory_AFz,Mean_Power_Control_AFz,SEM_Power_Control_AFz,Mean_Power_Memory_AF3,SEM_Power_Memory_AF3,Mean_Power_Control_AF3,SEM_Power_Control_AF3,Mean_Power_Memory_AF4,SEM_Power_Memory_AF4,Mean_Power_Control_AF4,SEM_Power_Control_AF4,Mean_Power_Memory_Fz,SEM_Power_Memory_Fz,Mean_Power_Control_Fz,SEM_Power_Control_Fz,Mean_Power_Memory_F1,SEM_Power_Memory_F1,Mean_Power_Control_F1,SEM_Power_Control_F1,Mean_Power_Memory_F2,SEM_Power_Memory_F2,Mean_Power_Control_F2,SEM_Power_Control_F2,Mean_Power_Memory_F3,SEM_Power_Memory_F3,Mean_Power_Control_F3,SEM_Power_Control_F3,Mean_Power_Memory_F4,SEM_Power_Memory_F4,Mean_Power_Control_F4,SEM_Power_Control_F4,Mean_Power_Memory_FC3,SEM_Power_Memory_FC3,Mean_Power_Control_FC3,SEM_Power_Control_FC3,Mean_Power_Memory_FC1,SEM_Power_Memory_FC1,Mean_Power_Control_FC1,SEM_Power_Control_FC1,Mean_Power_Memory_FC2,SEM_Power_Memory_FC2,Mean_Power_Control_FC2,SEM_Power_Control_FC2,Mean_Power_Memory_FC4,SEM_Power_Memory_FC4,Mean_Power_Control_FC4,SEM_Power_Control_FC4,Mean_Power_Memory_Cz,SEM_Power_Memory_Cz,Mean_Power_Control_Cz,SEM_Power_Control_Cz,Mean_Power_Memory_C3,SEM_Power_Memory_C3,Mean_Power_Control_C3,SEM_Power_Control_C3,Mean_Power_Memory_C1,SEM_Power_Memory_C1,Mean_Power_Control_C1,SEM_Power_Control_C1,Mean_Power_Memory_C2,SEM_Power_Memory_C2,Mean_Power_Control_C2,SEM_Power_Control_C2,Mean_Power_Memory_C4,SEM_Power_Memory_C4,Mean_Power_Control_C4,SEM_Power_Control_C4
-2.0,-0.5241754409964825,0.02186648960143295,-0.4839218829038028,0.029571100509177127,-0.5130536314678062,0.02240474744201229,-0.46848098865598636,0.03149713212429595,-0.49880089864581895,0.029476086944037586,-0.4686048770616541,0.03455392134429483,-0.6077791347366185,0.008736755696639462,-0.5628107071707139,0.024428179371716454,-0.6042047422835306,0.009376442121405568,-0.5578561749290585,0.02310007084196489,-0.6121725953310329,0.009378146195304856,-0.5602377439733234,0.025680980582439672,-0.5902885843836931,0.010660104566856694,-0.5465622343691038,0.0245865346876779,-0.5885904246021888,0.012563635518182724,-0.5368274666144328,0.031355556924629324,-0.6006338211525648,0.01804687625757573,-0.5629458913025719,0.041639419844605494,-0.5634854325729033,0.06580708463276537,-0.5890375155815634,0.03432190059213383,-0.6345175540628445,0.00792821350156116,-0.5844114274956678,0.03596109388596082,-0.6253254527906718,0.013311360420185927,-0.5660830492536121,0.041350779011712406,-0.6101983171030156,0.009704950992973011,-0.5723383701145649,0.035411413905755286,-0.5878163821404391,0.019134081370387895,-0.5476060910991448,0.041694935201300236,-0.6023504340861072,0.010386166086426764,-0.5684573180178076,0.034218789503692115,-0.6169224098205579,0.009610870670890224,-0.5922100359507663,0.015351793530747023,-0.6061813333657782,0.015809648048424888,-0.5508572150044103,0.04712951797472438
-1.999,-0.5175394001227793,0.02215514913769709,-0.47661639345377776,0.029977593173187822,-0.5062738016867201,0.022695862322533383,-0.46098757880103475,0.03193332476803054,-0.4918219993613851,0.029879692827307,-0.4611077920213014,0.03502849443498002,-0.6021424435221452,0.008852208618609728,-0.5565789536942318,0.024748904082797032,-0.5985205901394516,0.009500746783838289,-0.5515584045346065,0.02340788785297211,-0.6066190341023957,0.009503935317577024,-0.553991195254235,0.026015666600449815,-0.5844318975263251,0.010796522630160153,-0.5401538520597056,0.024916856492645075,-0.5827380495479267,0.012731464454848747,-0.5302978260403179,0.031750691066415156,-0.594888045860018,0.018306507854217252,-0.5567901808887649,0.04217834102288202,-0.5572477232567071,0.06668636782157447,-0.5831879153596855,0.034764465390849396,-0.6292394654417363,0.008030779415165779,-0.5785143477550203,0.03641839093536517,-0.6199164566272267,0.013497634217379978,-0.5600175720661924,0.04186768197551645,-0.6045873043798421,0.00983373515750592,-0.5662639424947176,0.03585848068716472,-0.5818986314619076,0.019424607328513154,-0.5412497699254613,0.04221632413430523,-0.5966241260874722,0.010526418079941017,-0.562322956291331,0.03464801778622827,-0.6114284225845654,0.009738431398767962,-0.586411049327286,0.015557631934905147,-0.6005741602402186,0.016037097953611166,-0.5445838728786273,0.04773556922248598
-1.998,-0.5108871194595682,0.022443690070081658,-0.46929170297882405,0.030384628907527782,-0.4994786117292436,0.02298668273491897,-0.4534757623122412,0.03237013328875219,-0.48482707116763335,0.03028347376941762,-0.4535930313976567,0.035503469753378404,-0.59648214116753,0.008967887471702718,-0.5503240488129613,0.025069567978936735,-0.5928129766188608,0.009625259266411897,-0.5452374792502801,0.02371573935772702,-0.6010427358498879,0.009629970671673998,-0.5477219162311385,0.02635027936645808,-0.5785527613710744,0.01093290461450579,-0.5337241473686651,0.025247283147419964,-0.5768635564345923,0.012899442362775472,-0.5237473880949103,0.032145343253086954,-0.5891174333788027,0.018567269171451656,-0.5506137387765554,0.0427166738195347,-0.5509882835042849,0.06756389956290403,-0.5773166365939408,0.03520648812882408,-0.6239381289953971,0.008133685851459002,-0.5725956089054073,0.036875014053268,-0.6144840160129633,0.013684540416459884,-0.5539318793530834,0.04238374700620459,-0.5989541351130175,0.009962741594547088,-0.5601698610158321,0.03630470557384794,-0.5759564560975441,0.019716612991084733,-0.5348738097252541,0.04273660215248651,-0.5908749659471313,0.01066694341944005,-0.5561682148907521,0.035076481620733346,-0.6059129110260639,0.009866191896108243,-0.5805913429507057,0.015763808253550074,-0.5949462769655229,0.01626538404548353,-0.5382921174770106,0.04834067281940573
-1.997,-0.5042202531739223,0.022732015615465864,-0.46194971211826974,0.03079208788658174,-0.4926697871716472,0.0232771086127386,-0.4459475035217421,0.03280742884018947,-0.4778178848062439,0.030687293351301263,-0.4460626043594274,0.03597869646906213,-0.5907994268828459,0.009083761432001262,-0.5440474199651949,0.025390058626594245,-0.5870831199348359,0.009749945504251156,-0.5388948444612751,0.024023518970186276,-0.5954448883203682,0.009756217998937373,-0.5414313473312851,0.026684702803615037,-0.5726524665880821,0.011069209310612078,-0.5272746313160956,0.025577703009630325,-0.57096822957164,0.013067519936070587,-0.5171777331359152,0.03253937472709588,-0.583323190369809,0.018829103051999568,-0.544418016460996,0.04325421620546233,-0.5447086179265126,0.06843930390822546,-0.5714250122045593,0.035647800705155386,-0.6186146494751376,0.008236909468025064,-0.5666565660413488,0.037330789043431414,-0.6090292760696426,0.013872035267645388,-0.5478273799303673,0.04289878182404592,-0.5933000456329397,0.010091933870339794,-0.5540576022074454,0.03674991548111419,-0.5699911168251556,0.020010035359270723,-0.5284797695666981,0.04325556661277713,-0.5851042079219837,0.010807702456059195,-0.5499945640818642,0.03550401828666429,-0.60037707914029,0.009994115128606164,-0.5747522463201564,0.01597026348037947,-0.589298945494957,0.01649445324850318,-0.5319834839376046,0.04894459555334927
-1.996,-0.49754046602573015,0.023020028598868213,-0.45459233906541135,0.03119984935951872,-0.48584906397338634,0.023567039656639126,-0.43840478336248295,0.03324508159751933,-0.47079622195740867,0.0310910140238792,-0.4385185373881059,0.03645402263182895,-0.5850955153102939,0.009199799476252584,-0.5377505125766552,0.025710262456261776,-0.5813322537120649,0.009874771236738356,-0.532531963471091,0.02433111922295109,-0.5898266940987968,0.009882642804366284,-0.5351209469985336,0.027018819696034466,-0.5667323185453975,0.011205395536000725,-0.5208068316494844,0.02590800334154134,-0.5650533676190309,0.013235647664418794,-0.5105904591683881,0.032932645862644376,-0.577506540024634,0.01909195145121545,-0.5382044824986648,0.04379076429752771,-0.5384102497981822,0.06931220192130659,-0.5655143915545984,0.036088233456094826,-0.6132701469675229,0.008340426608130037,-0.5606985915597853,0.037785540162552554,-0.6035533976328316,0.01406007454489673,-0.5417054986691756,0.043412592632775984,-0.5876262869680542,0.010221275225229384,-0.5479286590789755,0.03719393600347338,-0.5640038902366011,0.02030481035707055,-0.5220692260864952,0.04377301345999406,-0.5793131213631972,0.01094865517728233,-0.5438034906169655,0.035930463846270355,-0.594822144947039,0.010122163758812435,-0.5688951039653982,0.01617693804461029,-0.5836334420934579,0.016724251953853103,-0.5256595232371888,0.049547102381037156
-1.995,-0.4908494319768777,0.023307631537123452,-0.4472215181195449,0.031607791737513415,-0.479018187012176,0.023856375424974527,-0.4308495978403944,0.03368296085383853,-0.46376387374971595,0.03149449721235447,-0.4309628727162686,0.03692929529029311,-0.5793716356625049,0.009315970409393253,-0.531434789068761,0.0260300648336623,-0.5755616261081866,0.009999702037818468,-0.5261503164906858,0.024638431636311558,-0.5841893697492637,0.010009210385583181,-0.5287921906931142,0.027352511763300943,-0.5607936363462375,0.011341422176815105,-0.5143222917551696,0.0262380703838085,-0.559120282633373,0.013403775876722368,-0.5039871807093367,0.03332501626452134,-0.5716687212257633,0.01935575547341585,-0.5319746214783139,0.044326112488244473,-0.532094719977298,0.07018221196684739,-0.5595861395063317,0.036527615261141094,-0.607905756114511,0.00844421331754563,-0.5547230742261515,0.03823909023153459,-0.5980575564420064,0.01424861357934409,-0.5355676754992253,0.04392498424515945,-0.5819341239283836,0.01035072860208752,-0.5417845400498355,0.03763659153021341,-0.5579960678327599,0.020600872872375647,-0.5156437723701901,0.04428873736515666,-0.5735029897930662,0.011089761238565454,-0.5375964966659731,0.03635565325378923,-0.5892493395922784,0.010250300175999646,-0.5630212744728003,0.01638377185412917,-0.5779510563925895,0.01695472606287271,-0.5193218010747542,0.050147956585854456
-1.994,-0.4841488327860158,0.023594726723401932,-0.4398391982161421,0.03201579268201083,-0.4721789086045501,0.02414501542508004,-0.4232839564856721,0.03412093511777867,-0.45672263925506734,0.03189760342238204,-0.423397666743613,0.037404360612085394,-0.5736290308423755,0.00943224289235198,-0.5251017278453518,0.02634935013266515,-0.5697724989167752,0.010124703346578303,-0.5197513996060181,0.024945346788956352,-0.5785341449382188,0.010135885862068542,-0.5224465698697035,0.027685659736732055,-0.5548377518484191,0.011477248229712078,-0.5078225695493872,0.026567789430891924,-0.5531702990968423,0.013571854785040981,-0.4973695276305719,0.0337163448684095,-0.5658109876873242,0.01962045540910486,-0.5257299329694705,0.044860053578439134,-0.5257635857991748,0.07104895000555682,-0.5536416354569923,0.0369657736515615,-0.6025226253149788,0.00854824536175875,-0.5487314182191602,0.038691260749256724,-0.5925429423115091,0.014437607293333498,-0.5294153643925361,0.04443576021111399,-0.5762248341710831,0.01048025667519506,-0.5356267678586188,0.0380777053631993,-0.5519689551000095,0.02089815679908076,-0.5092050168091519,0.04480253186634056,-0.567675109963615,0.011230979995484483,-0.5313750987265917,0.0367794204667267,-0.5836599064324707,0.010378486526454497,-0.5571321294927926,0.01659070433946214,-0.5722530904271648,0.01718582103113528,-0.5129718967345701,0.050746919938700584
-1.993,-0.47744035659084794,0.02388121631246325,-0.4324473414370129,0.03242372919393915,-0.46533298701396797,0.024432859205063384,-0.41570988078514726,0.0345588722121566,-0.44967432397069074,0.032300192348000904,-0.4158249884327415,0.03787906400551715,-0.5678689565455357,0.009548585470090567,-0.5187528222590384,0.02666800180987492,-0.5639661466530922,0.010249740498052894,-0.5133367237251346,0.025251754390302073,-0.5728622615409759,0.010262634204620638,-0.5160855909349668,0.028018143437347966,-0.5488660086672728,0.011612832843755756,-0.5013092363501347,0.02689704490807943,-0.5472047529301621,0.013739834528763236,-0.49073914398118273,0.03410649004257401,-0.5599346070773787,0.019885990773063824,-0.519471930450162,0.045392378912816056,-0.519418419946605,0.07191202989538471,-0.5476822723549001,0.03740253492127708,-0.5971219159086149,0.008652498243541026,-0.5427250421553034,0.03914187200877573,-0.5870107582833893,0.014627010235015258,-0.5232500323283167,0.044944722948322816,-0.5704997072491933,0.010609821879548419,-0.529456878452591,0.038517099836815484,-0.5459238705693233,0.021196595080218088,-0.5027545819354495,0.04531418951197224,-0.5618307908981148,0.011372270536370889,-0.5251408265147597,0.03720159855914932,-0.5780551001027633,0.010506684744157406,-0.5512290527299449,0.01679767449851593,-0.5665408576547863,0.01741748191307666,-0.5066114019299764,0.05134375286176306
-1.992,-0.4707256964798814,0.024167002406533744,-0.4250479215023502,0.03283147770377136,-0.4584821849485427,0.024719806445980725,-0.4081294025977934,0.034996639373551776,-0.44262073829032933,0.03270212298120927,-0.4082469176867598,0.03835325024255643,-0.5620926803465506,0.009664966599839266,-0.5123895795583722,0.026985902480844273,-0.5581438556237109,0.010374778754216912,-0.5069078135060199,0.025557543354397097,-0.5671749727326107,0.010389420264997892,-0.5097107741857156,0.02834984185549615,-0.5428797611632463,0.011748135362252228,-0.4947838757311795,0.02722572045007282,-0.5412249904909332,0.013907665218939668,-0.4840976867910599,0.03449530969083462,-0.5540408601228539,0.0201523003432392,-0.5132021402149648,0.04592287851833937,-0.5130608092974183,0.0727710636986037,-0.5417094556971354,0.037837724240042954,-0.5917048013431793,0.008756947220855753,-0.536705378094204,0.039590743215882365,-0.5814622197632429,0.01481677661339224,-0.5170731582401548,0.04545167387524973,-0.5647600436448226,0.010739386440552811,-0.5232764198588037,0.03895459643996679,-0.5398621448591704,0.02149611975206136,-0.4962941032360941,0.04582350200646489,-0.5559713529167548,0.011513591715390408,-0.5188952218366125,0.03762201983691102,-0.5724361855702491,0.010634856581808797,-0.5453134389168114,0.017004620942052438,-0.5608156819595908,0.017649653407090418,-0.500241919629344,0.05193821459509945
-1.991,-0.4640065490556522,0.024451987141697412,-0.4176429222465776,0.0332389141623269,-0.4516282680505147,0.025005757054266813,-0.40054456255540616,0.03543410335268666,-0.4355636959667514,0.03310325372305834,-0.40066554371081814,0.03882676358295572,-0.556301480769952,0.009781354679487849,-0.5060135198170502,0.02730293399786265,-0.5523069229811809,0.010499783335117351,-0.5004662062664805,0.0258626018753432,-0.5614735420643663,0.010516208805703406,-0.5033236527289926,0.028680633232072445,-0.536880373415474,0.011883115364462432,-0.48824808235956013,0.027553698981071982,-0.5352323675585144,0.014075296982714263,-0.47744682485692824,0.03488266135672544,-0.5481310396982337,0.02041932220038219,-0.5069221002646704,0.04645134124533443,-0.5066923537507555,0.07362566199441692,-0.5357246025099027,0.03827116576885502,-0.5862724663261059,0.008861567325082823,-0.5306738705259233,0.04003769260993663,-0.575898553640013,0.015006860333793592,-0.5108862319468861,0.04595641354646984,-0.5590071537879718,0.010868912404068289,-0.5170869510381453,0.03939001594005348,-0.5337851197034138,0.02179666198913839,-0.4898252279480012,0.04633026035809442,-0.5500981266476921,0.011654902186024142,-0.5126398374433583,0.03804051595473191,-0.5668044371734813,0.010762963642164823,-0.5393866927728574,0.01721148193984275,-0.5550788966414254,0.01788227990102307,-0.49386506286554827,0.052530063365909735
-1.99,-0.45728461299142364,0.024736072774689682,-0.41023433607996224,0.03364591413221408,-0.4447730033796116,0.025290611254289854,-0.3929574084505188,0.03587113051549558,-0.4285050125677157,0.03350344249614053,-0.3930829633597567,0.039299447899380335,-0.5504966463472792,0.009897718076095866,-0.49962617484642863,0.027618977529266057,-0.5464566557649403,0.010624719450102777,-0.49401345087736304,0.026166817504183176,-0.5557592425267303,0.010642964529872715,-0.49692577138539146,0.02901039514128184,-0.5308692181826595,0.012017732707124416,-0.48170346081798937,0.027880862796300972,-0.5292282483067732,0.014242680007796169,-0.4707882375123845,0.035268402328746395,-0.542206449899028,0.020686993768436707,-0.500633359178883,0.04697755491122588,-0.5003146650334594,0.07447543419675103,-0.5297291403127661,0.038702682777511085,-0.5808261059615306,0.00896633337953442,-0.5246319753413925,0.04048253758689902,-0.5703209973909379,0.01519721503371087,-0.5046907530683937,0.04645874179022251,-0.5532423570623026,0.010998361666769298,-0.5108900407236661,0.039823178508832914,-0.5276941469653863,0.022098152150095213,-0.483349613835045,0.04683425502901693,-0.5442124520247548,0.011796160434911097,-0.5063762358704403,0.03845691803504331,-0.5611611376495266,0.010890967409642354,-0.5334502279496989,0.017418195467450395,-0.549331843391808,0.018115305517997952,-0.48748245353031977,0.05311905656037634
-1.989,-0.45056158758339476,0.025019161769980206,-0.40282416243798946,0.03405235287981285,-0.4379181578924505,0.025574269680896027,-0.3853699936137049,0.03630758694476945,-0.42144650392755856,0.03390254685834369,-0.3855012794739841,0.03977114680337673,-0.5446794746613317,0.010014025154480098,-0.49322908709263347,0.027933913640212252,-0.5405943699296801,0.010749552329103736,-0.4875511066404253,0.02647007722719778,-0.5500333556003394,0.01076965211122785,-0.4905186855768298,0.02933900457487731,-0.5248476758526822,0.012151947565722241,-0.4751516244136094,0.028207093644913882,-0.5232140042660332,0.014409764586912786,-0.4641236133833882,0.035652389746598026,-0.5362684051012067,0.020955251855579025,-0.49433747497274394,0.047501306446817285,-0.49392936548805866,0.07531998887687971,-0.5237245060679464,0.03913209776424974,-0.5753669248738175,0.009071220018240097,-0.5185811587871046,0.04092509482447454,-0.5647307981726895,0.015387794118968671,-0.4984882299272797,0.04695845784809633,-0.5474669807991424,0.011127696006780435,-0.5046872662445469,0.04025390385007708,-0.5215905876394822,0.022400519824321483,-0.47686892794862845,0.047335276087316296,-0.5383156772730805,0.011937324816005424,-0.5001059882623243,0.03887105678851524,-0.555507577149801,0.011018829282152125,-0.5275054659638616,0.017624699253597297,-0.5435758712579712,0.018348674162503676,-0.4810957211547705,0.05370495089794111
-1.988,-0.44383917130051875,0.02530115688702829,-0.3954144062204828,0.03445810546769158,-0.4310654969202131,0.02585663347180819,-0.3777843752823966,0.03674333854225908,-0.4143899845966714,0.03430042411773499,-0.3779225992057726,0.04024170377202169,-0.5388512713788438,0.010130244305834271,-0.4868238085196118,0.028247622374861617,-0.5347213893624344,0.010874247253919252,-0.4810807421521999,0.02677226754555103,-0.5442971702959493,0.010896236224049836,-0.4841039602001522,0.02966633802781113,-0.5188171333823169,0.01228572047543192,-0.4685941939744883,0.0285322728142135,-0.517191013275582,0.014576501162164461,-0.4574546491307596,0.036034480708305776,-0.5303182290077844,0.02122403269585962,-0.4880360139391289,0.04802238204500683,-0.48753808684384015,0.07615893409050392,-0.5177121451159584,0.0395592325773844,-0.5698961363186532,0.009176201704977432,-0.5125228964052991,0.04136518040927796,-0.5591292118998049,0.015578550800162077,-0.49228017843785477,0.04745536051674515,-0.5416823592610714,0.011256877114551608,-0.4984802123371424,0.04068201132892889,-0.5154758108415944,0.02270369387926414,-0.4703848453732945,0.047833113360972845,-0.5324091578840511,0.012078353585003723,-0.4938306731843693,0.03928276263618064,-0.5498450522459514,0.011146510603121905,-0.5215538351184801,0.017830930828055303,-0.5378123355962928,0.018582329566680385,-0.47470650167758255,0.0542875026078814
