Time,Theta_Power_Memory_AFz,SEM_Memory_AFz,Theta_Power_Control_AFz,SEM_Control_AFz,Theta_Power_Memory_AF3,SEM_Memory_AF3,Theta_Power_Control_AF3,SEM_Control_AF3,Theta_Power_Memory_AF4,SEM_Memory_AF4,Theta_Power_Control_AF4,SEM_Control_AF4,Theta_Power_Memory_Fz,SEM_Memory_Fz,Theta_Power_Control_Fz,SEM_Control_Fz,Theta_Power_Memory_F1,SEM_Memory_F1,Theta_Power_Control_F1,SEM_Control_F1,Theta_Power_Memory_F2,SEM_Memory_F2,Theta_Power_Control_F2,SEM_Control_F2,Theta_Power_Memory_F3,SEM_Memory_F3,Theta_Power_Control_F3,SEM_Control_F3,Theta_Power_Memory_F4,SEM_Memory_F4,Theta_Power_Control_F4,SEM_Control_F4,Theta_Power_Memory_FC3,SEM_Memory_FC3,Theta_Power_Control_FC3,SEM_Control_FC3,Theta_Power_Memory_FC1,SEM_Memory_FC1,Theta_Power_Control_FC1,SEM_Control_FC1,Theta_Power_Memory_FC2,SEM_Memory_FC2,Theta_Power_Control_FC2,SEM_Control_FC2,Theta_Power_Memory_FC4,SEM_Memory_FC4,Theta_Power_Control_FC4,SEM_Control_FC4,Theta_Power_Memory_Cz,SEM_Memory_Cz,Theta_Power_Control_Cz,SEM_Control_Cz,Theta_Power_Memory_C3,SEM_Memory_C3,Theta_Power_Control_C3,SEM_Control_C3,Theta_Power_Memory_C1,SEM_Memory_C1,Theta_Power_Control_C1,SEM_Control_C1,Theta_Power_Memory_C2,SEM_Memory_C2,Theta_Power_Control_C2,SEM_Control_C2,Theta_Power_Memory_C4,SEM_Memory_C4,Theta_Power_Control_C4,SEM_Control_C4
-2.0,-0.7112590353694104,0.013535818619955686,-0.38088786235400773,0.07632454197620181,-0.6993237972240283,0.019932576819321004,-0.39426668318836267,0.08177268169622087,-0.7000011786767756,0.013361272402565271,-0.3509600988173512,0.08074218190972045,-0.7018821679133447,0.012235061608504518,-0.5958620303356865,0.014625327977979115,-0.7126299755900618,0.009894133095313905,-0.5345357342998788,0.03359850949627693,-0.6983022636273483,0.006983944376257084,-0.6200346734308849,0.015066717329305868,-0.718478725471163,0.0128242672326724,-0.47421679546303575,0.05633881263822893,-0.7022793532458542,0.0043056631373437956,-0.5625498090795749,0.019364551538081167,-0.6673960528886673,0.00921783698299364,-0.5633183425791696,0.02278042111294385,-0.6411406501019898,0.0169846028866164,-0.7033030861222997,0.018644434842823528,-0.6280350277100386,0.01042496595771777,-0.7354270720434701,0.009163264975619319,-0.6404934004491224,0.003215243224046551,-0.7521742818091329,0.0038714205067098455,-0.6504675493297171,0.01568031393384407,-0.6295120629627946,0.014308042710721391,-0.6495758494789874,0.012331125328716155,-0.5923241669273064,0.008492980147320429,-0.627320630721958,0.02417970028075949,-0.6701388694151735,0.015695230905510463,-0.6691758363785603,0.010486246819668364,-0.614371372502486,0.011302459916169674,-0.6825464809428656,0.005040393557464846,-0.627097485046372,0.011056290952361898
-1.999,-0.706855241202546,0.013941681259899556,-0.3718103675863847,0.07795655167787771,-0.6947335003881163,0.02046114738519661,-0.3855234257001155,0.08343873731824844,-0.6954830963431837,0.013763914163662056,-0.3413879833479125,0.08242720540799509,-0.6972696264481673,0.01261889648536847,-0.5897313071964865,0.015192761384160756,-0.7081517220814014,0.010245541130457423,-0.5275307790980399,0.034622441075941375,-0.6936589472434869,0.007063803820424446,-0.6141413613985359,0.015622292149902586,-0.7141643758646966,0.013253947732138357,-0.4665339951582504,0.057685607011020705,-0.6977127680823214,0.004480721755883854,-0.5558706403002077,0.02002967844130596,-0.6625472693329115,0.009392900337951723,-0.5570448470998657,0.023594191706386675,-0.6357157936574234,0.017476723093395027,-0.6986141629076703,0.01929537819689619,-0.6222568721056403,0.010943088511866204,-0.7313291166692039,0.009495320664488301,-0.6350405426990889,0.0029349839852089396,-0.7483289601400841,0.0042373764247803595,-0.6452609766420199,0.01624296141756635,-0.6242221050252516,0.01482195373117629,-0.6440881790298112,0.012934629120420996,-0.5866758663969285,0.008717939228247113,-0.6216866847962794,0.024901461039047106,-0.6653344196395252,0.01624997549581391,-0.6641498343122382,0.010997538534690684,-0.6088817647033183,0.011778374702577036,-0.6777795874276826,0.005284538009086361,-0.6217036785708748,0.011584708495991787
-1.998,-0.7024307231683882,0.014347868271908943,-0.3627167858416138,0.07958642785826328,-0.6901227153634721,0.02098986065505602,-0.37676952814312553,0.08510176599629639,-0.6909453606619954,0.014166231973693781,-0.3317992345723813,0.084108182062203,-0.6926314096465248,0.013007955889168612,-0.583571445310276,0.015773875314497702,-0.7036476971356016,0.010602367982688569,-0.5204984846474667,0.03565255767986664,-0.6889892482642662,0.007158236024183352,-0.608216400388417,0.01618875026769023,-0.7098283599113264,0.013685525583656712,-0.45883338560192277,0.05903428407030646,-0.6931209133916914,0.00467527638687371,-0.5491619398899045,0.020698970643559054,-0.6576774675186343,0.009582728394812471,-0.5507513452295799,0.024410716537744608,-0.6302640121016634,0.017976691439241143,-0.6938968449909311,0.019953935266015316,-0.6164455513211725,0.011473477939727101,-0.7272068315103233,0.009838395432124059,-0.6295581302836383,0.002692694636315262,-0.7444602164903309,0.004608428611673682,-0.6400308783582911,0.016807591403687643,-0.6189181476574432,0.015337062110389285,-0.6385678319653546,0.013543243949971624,-0.5810131547622452,0.008964883620397414,-0.6160261867112207,0.02562577399978219,-0.660514690452735,0.016806259964662625,-0.6590973198426087,0.011512257907312229,-0.6033778229421014,0.012255979365626078,-0.672988083794597,0.005547359206757247,-0.6162935710136153,0.012114512926945325
-1.997,-0.6979864098274364,0.014754034751097699,-0.35361011430783507,0.08121313494276178,-0.6854924630004369,0.021518368860036812,-0.36800797270546626,0.08676073482443605,-0.6863889492860258,0.014567881985874189,-0.3221970626554008,0.08578397043940618,-0.6879684153970015,0.0134016432805703,-0.5773838514056806,0.016367497865810477,-0.6991187518698434,0.010963991615047968,-0.5134406788196412,0.03668823874224469,-0.6842940427184271,0.007266715700571822,-0.602261044663815,0.01676517867121685,-0.7054715685308898,0.014118637518479584,-0.45111732339329647,0.06038408616857691,-0.688504660477266,0.0048871562954552064,-0.5424253210402077,0.02137170486013019,-0.6527876685771907,0.009786462740049661,-0.5444394420383137,0.025229499209088284,-0.624786447603596,0.018483756548680823,-0.6891520573279919,0.020619717172584318,-0.6106022232343937,0.012014906824439946,-0.7230609598295352,0.010191687676674678,-0.6240472555519945,0.0025017681012784853,-0.7405687288026119,0.004984089946614195,-0.6347783305140606,0.01737386743335774,-0.6136016060712304,0.01585282643169264,-0.6330158472261047,0.01415665410056203,-0.5753375002677265,0.009232006952928017,-0.6103403178070772,0.02635224728343695,-0.6556809280136273,0.01736369527491209,-0.6540192513754297,0.012030142957695661,-0.5978610200028167,0.012734619240499394,-0.6681728678034345,0.005826830487432092,-0.6108686036829554,0.012645303919958993
-1.996,-0.6935232397818849,0.015159842114912284,-0.34449338121966677,0.0828356307163485,-0.680843775043174,0.022046325556318143,-0.3592417700600691,0.08841460497123682,-0.6818148491953858,0.014968526901489029,-0.31258470966960417,0.08745342265803292,-0.6832815554639418,0.013799382945756285,-0.5711699551827782,0.01697252850644652,-0.694565751066732,0.011329820925559305,-0.5063592164112073,0.03772886360531697,-0.6795742208984263,0.007388617549170216,-0.5962765693906638,0.017350711389758935,-0.7010949044236188,0.014552927266471125,-0.4433881928088468,0.061734248714312635,-0.6838648943102553,0.005114295288661997,-0.535662419004608,0.022047177666908377,-0.6478789054418093,0.010003203713926781,-0.5381107616217656,0.026050040369175416,-0.6192842584979534,0.01899718747106708,-0.6843807432890104,0.0212923411381835,-0.6047280672625567,0.012566263632713041,-0.718892257334471,0.010554438422393736,-0.6185090307125146,0.0023769176389956794,-0.7366551872259497,0.005363952595907583,-0.6295044209239855,0.017941455588008748,-0.608273908665037,0.01636872108893891,-0.6274332826868683,0.014774545029369434,-0.5696503862456808,0.009517489331717978,-0.6046302733864621,0.02708048828854,-0.6508343915873734,0.017921894968585546,-0.6489166009081482,0.012550933493852473,-0.5923328427505318,0.013213673043211624,-0.6633348497841952,0.006121104242772538,-0.6054302352041185,0.013176684509177108
-1.995,-0.6890421609146716,0.015564957819621604,-0.3353696434470164,0.08445286745947057,-0.6761776932993208,0.022573385864178175,-0.3504739570055077,0.09006233279795929,-0.6772240558728122,0.015367835753843524,-0.3029654468464088,0.08911538571692004,-0.6785717547804027,0.014200618493999555,-0.5649312083607168,0.017587931832185516,-0.6899895725279699,0.011699292830377933,-0.49925597787133896,0.03877381134273812,-0.674830686698213,0.007523234122764861,-0.5902642697008227,0.017944525247318377,-0.6966992813871916,0.014988044832226745,-0.4356484040574711,0.06308400091299612,-0.6792025128870132,0.005354773172132689,-0.5288748897804336,0.022724703331803407,-0.6429522219992819,0.010232025714514545,-0.53176694590394,0.026871837829205478,-0.613758618334571,0.01951627289895211,-0.6795838640347884,0.02197142951791383,-0.5988242835417459,0.013126535700723637,-0.7147014916071239,0.010925930245279509,-0.6129445871140098,0.00233096318886102,-0.7327202936366486,0.005747663460535941,-0.6242102483167966,0.018510024371685776,-0.6029364958879495,0.016884234453757762,-0.6218212144265454,0.01539660270139898,-0.5639533100117381,0.00981953407128547,-0.5988972617351909,0.02781010395178201,-0.645976352546541,0.018480474948509545,-0.6437903533345124,0.013074370715547316,-0.5867947909678276,0.013692547898181823,-0.6584749520201186,0.0064285173300415895,-0.5999799404875513,0.013708260282770621
-1.994,-0.6845441296224265,0.01596905516078814,-0.32624198404277016,0.08606379310075607,-0.6714952688029255,0.02309920672685542,-0.3417075940694459,0.09170287098993243,-0.6726175724728531,0.01576548377577383,-0.29334257177955436,0.09076870284467903,-0.6738399507249159,0.014604811430298136,-0.5586690837004106,0.018212731475198748,-0.68539110641412,0.012071869580433726,-0.49213286799866934,0.039822460678877944,-0.6700643569347537,0.00766979384395237,-0.5842254597315,0.018545835869355678,-0.6922856236237351,0.015423645914027293,-0.4279003915000126,0.06443256652443631,-0.674518426572018,0.005606834721281174,-0.5220644087627159,0.02340361200894956,-0.6380086722242959,0.01047199052957873,-0.5254096534121978,0.02769438674456579,-0.6082107149038706,0.020040320308181564,-0.6747623978721699,0.022656608991040265,-0.592892092079236,0.013694794541979636,-0.7104894415190459,0.011305485487568738,-0.6073550745032026,0.0023704598963237037,-0.72876476114622,0.006134907983615188,-0.6188969214582647,0.01907924467392318,-0.597590819086932,0.017398867394070434,-0.6161807359777787,0.0160225131268833,-0.5582477817384184,0.010136394889424766,-0.5931425031267852,0.028540701038445075,-0.6411080933558655,0.019039053362181164,-0.6386415057369645,0.013600196960135782,-0.5812483761729609,0.014170675317569114,-0.6535941081212389,0.006747584559984051,-0.5945192096771212,0.014239638830043828
-1.993,-0.680030110043685,0.016371813145273986,-0.3171135097529332,0.08766735238407454,-0.6667975609722302,0.023623447185759233,-0.3329457630781799,0.09333516969894133,-0.667996408986425,0.01616115233758497,-0.2837194055858826,0.09241221486650042,-0.6690870923832187,0.015011439823931064,-0.5523850740037375,0.018846004332605647,-0.6807712545714552,0.012447036326626111,-0.4849918146093269,0.04087418999208599,-0.6652761606543312,0.007827478301970213,-0.5781614716421692,0.01915389399402305,-0.6878548650378619,0.01585939144455732,-0.4201466118356997,0.06577916463452134,-0.6698135574276672,0.005868892956468148,-0.5152326693725244,0.02408324824857261,-0.6330493192980835,0.01072215859192785,-0.5190405580264615,0.028517179852031022,-0.6026417492400343,0.020568655066561005,-0.6699173395893503,0.02334750988850696,-0.5869327318800733,0.014270183294023329,-0.7062568966331599,0.011692464035555046,-0.6017416602592375,0.002493036790778584,-0.7247893135971681,0.006525399224989907,-0.6135655582636683,0.01964878979882801,-0.592238339338814,0.017912132086107178,-0.6105129575577556,0.016651962057402256,-0.5525353233082091,0.010466394634658345,-0.5873672288120954,0.029271886458775646,-0.6362309065423518,0.01959725057046302,-0.6334710666678101,0.014128155557736223,-0.5756951204213456,0.014647507953380944,-0.6486932623891923,0.00707698546065321,-0.5890495470793002,0.014770429383137515
-1.992,-0.6755010732836315,0.016772916424133703,-0.3079873484931028,0.0892624880475146,-0.6620856367637327,0.024145768669043367,-0.32419156469613697,0.09495817769428092,-0.6633615814021092,0.01655452894435389,-0.27409929002762123,0.09404476158562405,-0.6643141397959458,0.015419997084935206,-0.5460806910905129,0.01948687521079917,-0.6761309298468314,0.012824298934836099,-0.477834767177979,0.04192837739139138,-0.6604670384244978,0.007995438173537235,-0.5720736546104519,0.019767982111645988,-0.6834079485268566,0.016294947235346382,-0.41238954225801183,0.06712301043964637,-0.6650888385318539,0.006139522491746562,-0.5083813816618521,0.024762969781052985,-0.628075234712554,0.010981598191184378,-0.5126613477035608,0.029339707754066694,-0.5970529346033011,0.021100619546155108,-0.6650496997719622,0.024043765640329947,-0.5809474600489202,0.014851906071506406,-0.7020046565930318,0.012086260866275001,-0.5961055286060267,0.002688750369146776,-0.7207946850473079,0.006918870343379113,-0.6082172849010954,0.020218335548668132,-0.5868805262687773,0.018423551072018946,-0.6048190052812336,0.017284634806983144,-0.5468174671476342,0.010807936953027834,-0.5815726799955354,0.03000326760657116,-0.6313460936519597,0.020154689186920264,-0.6282800554201998,0.014657990771310817,-0.5701365550918345,0.015122516978609557,-0.6437733691741883,0.007415547925804174,-0.5835724700750791,0.015300242609696129
-1.991,-0.6709579966367223,0.01717205527714648,-0.29886664679519204,0.09084814201176902,-0.6573605698238472,0.024665835290905175,-0.31544811593883526,0.09657084352024575,-0.6587141108656261,0.01694530728308186,-0.2644855846009818,0.09566518317646121,-0.6595220631932646,0.015829990853944747,-0.5397574647544898,0.020134511932389864,-0.6714710553915798,0.013203182042972314,-0.4706636954538904,0.04298440085742754,-0.6556379416128125,0.008172807335677613,-0.5659633738085541,0.020387411436911116,-0.6789458252639718,0.01672998370969523,-0.4046316785822455,0.06846331604228047,-0.6603452132844178,0.006417447321486479,-0.5015122708969453,0.02544214653875385,-0.6230874973607967,0.01124939277335965,-0.5062737231780521,0.03016145924344199,-0.5914454954426022,0.02163557226491736,-0.6601605041007739,0.02474501232801779,-0.5749375508684876,0.01543921898254378,-0.6977335305002839,0.012486303512405508,-0.5904478798041363,0.0029441688225945173,-0.716781619243153,0.007315069336276189,-0.6028532348867598,0.020787560352383494,-0.5815188568570385,0.018932656523276612,-0.5991000203566563,0.017920216172602355,-0.5410957550436696,0.011159512371701147,-0.5757601067995713,0.03073445271659697,-0.6264549641943622,0.020710994176061225,-0.6230695012900489,0.015189447802971679,-0.5645742196596343,0.015595189981681067,-0.63883539222514,0.007762231065898177,-0.578089508015889,0.01582869052376708
