,Index,Mean_Diameter,SEM_Diameter
0,0,-0.33614020456636656,0.030876521136160552
1,1,-0.36660686379202895,0.027394468617024905
2,2,-0.35413743590352054,0.026798426122607463
3,3,-0.34810784125520333,0.02638621322901381
4,4,-0.34466359995188045,0.025888673981055314
5,5,-0.3308762277023274,0.025721266733931526
6,6,-0.3324202782528248,0.02536833049266097
7,7,-0.31768540319640065,0.024931267680964615
8,8,-0.3038542471650461,0.024238724851317377
9,9,-0.29791627133825194,0.024066484297482073
10,10,-0.2942336594269115,0.024019750510189376
11,11,-0.2976120448009953,0.023895468854396393
12,12,-0.2971752909233567,0.024223099622143515
13,13,-0.2903901538966048,0.024408698341642183
14,14,-0.2820287064433637,0.02414755061307063
15,15,-0.27966910228847414,0.024262482156797625
16,16,-0.27748479551214195,0.024208640398519027
17,17,-0.27146545517954135,0.02414321298252404
18,18,-0.2674014749728144,0.02431346635766684
19,19,-0.2629431841407713,0.024375330689567744
20,20,-0.2517646793085633,0.02394180610199894
21,21,-0.24584170883257386,0.022903247067675644
22,22,-0.22555397812883057,0.022333148529979016
23,23,-0.2167644678066305,0.02227956863252813
24,24,-0.2205128059339223,0.022574821454396113
25,25,-0.21335940508709272,0.02214467357394783
26,26,-0.21454523295153635,0.02198307246413403
27,27,-0.20931977613298283,0.022014495749283828
28,28,-0.2022595251386834,0.021761949522286425
29,29,-0.20227403148457757,0.021558480024846654
30,30,-0.18566364656806078,0.021306389008741638
31,31,-0.1848116935788283,0.02111507276536212
32,32,-0.17263791328136102,0.02121170655205547
33,33,-0.1711473602653891,0.021420071927615088
34,34,-0.15962383655473855,0.021394352260161235
35,35,-0.17127074411206833,0.021617090241409436
36,36,-0.15751706332056545,0.021344306270955443
37,37,-0.1515820039888941,0.02016493344200868
38,38,-0.1420826467012677,0.019684208324523816
39,39,-0.1265977119827526,0.01965044224209928
40,40,-0.11760677109896459,0.019439600915111613
41,41,-0.12151745681452514,0.019178614197916867
42,42,-0.11727251879468159,0.018774321197380463
43,43,-0.11646976835282626,0.018613085054194903
44,44,-0.11566477308794845,0.018661528377999982
45,45,-0.10891630709719317,0.018453489833680472
46,46,-0.10080364557213752,0.01857530272671513
47,47,-0.09916353032854866,0.018646328677551106
48,48,-0.10209422137460347,0.019015027623725665
49,49,-0.09680632809965484,0.0194463419655166
50,50,-0.09966017130870578,0.01956113981999834
51,51,-0.08643774013847451,0.018797827323302478
52,52,-0.08425956347960992,0.018275644121041386
53,53,-0.07797039978631723,0.017783671947591298
54,54,-0.06398035482422397,0.017737937464365777
55,55,-0.07080853917853822,0.01820032641258328
56,56,-0.07647536493027679,0.01822531521001267
57,57,-0.06337049388810372,0.018257560897856098
58,58,-0.06004981738479018,0.018374601004765036
59,59,-0.054285821620805454,0.01821799838467333
60,60,-0.05855142811616431,0.018342549257325102
61,61,-0.04812105791915919,0.018158750381216403
62,62,-0.04122318518191245,0.017866623532810322
63,63,-0.04291530031272124,0.01801222413767561
64,64,-0.05091217007644613,0.018010978067221163
65,65,-0.03693664699521116,0.01825823813237074
66,66,-0.04148885418399801,0.017883738814587755
67,67,-0.043066665208306924,0.017689666686699163
68,68,-0.041377150048460994,0.017372782130168393
69,69,-0.03102838933358044,0.017092484054089325
70,70,-0.025458705577670812,0.016879868827705216
71,71,-0.011950873159206902,0.01628591290273735
72,72,-0.016565889296015046,0.016106103398932547
73,73,-0.0037531862555424934,0.015653954248949643
74,74,-0.0037498604245640972,0.015233031045168238
75,75,0.0007047005562346655,0.015140043438350181
76,76,0.019850513773471818,0.014756878682078164
77,77,0.016579648425107854,0.01481556631260961
78,78,0.0216679843872785,0.015341500508061759
79,79,0.006225056700152267,0.016131555760109415
80,80,0.02055261313982352,0.01562730304712282
81,81,0.02176402897636266,0.01592771977532901
82,82,0.02640578609190456,0.015959635913245347
83,83,0.023391818358577853,0.015983093099136772
84,84,0.03120307592898831,0.015988925195557623
85,85,0.023827038442030612,0.0164715130869675
86,86,0.017477823410833926,0.016931387109463375
87,87,0.017895911594161144,0.017672952341004564
88,88,0.02184357789358565,0.01728860005187309
89,89,0.028092069991281304,0.017456984570234015
90,90,0.03162499715205086,0.01796847026447027
91,91,0.02892130555776472,0.017658610173943323
92,92,0.044000438675312135,0.016990700055006813
93,93,0.03648825058852903,0.016748498656474476
94,94,0.037669380268630294,0.017113330539707868
95,95,0.040719179537934955,0.017289869877766602
96,96,0.05028968493467607,0.01700441071255077
97,97,0.05855662291706308,0.01666226214725777
98,98,0.04169263773306438,0.01631664248432599
99,99,0.06607969466440909,0.015284573703241154
100,100,0.0775973602104628,0.015062350573898549
101,101,0.07302448233134091,0.015182777160399116
102,102,0.07563944988552998,0.015120505331639294
103,103,0.08167576354974586,0.014680898391820709
104,104,0.08267096072988037,0.014901770514860068
105,105,0.07354647658301186,0.014636895997607787
106,106,0.08043103154032283,0.014741265884186248
107,107,0.08762305586384997,0.014737270110592287
108,108,0.08241589058173414,0.015150276456704697
109,109,0.07916907266085013,0.015607717967129987
110,110,0.08453363428246427,0.016350616963310204
111,111,0.08770492737576092,0.016716863787297004
112,112,0.09725232462887466,0.016754888052023305
113,113,0.1029074748822832,0.016150341088318147
114,114,0.09348159588314522,0.016068297127665897
115,115,0.1002819391842392,0.015955047974841145
116,116,0.09766331726974667,0.016117388563514502
117,117,0.09731403060043212,0.016255963948364673
118,118,0.09843551139526016,0.016361428551797133
119,119,0.10587420019056344,0.016643508595104908
120,120,0.10615920899952476,0.016745830631281045
121,121,0.11485658940055161,0.016220527000827902
