,Index,Mean_Diameter,SEM_Diameter
0,0,1.6933587945084376,0.93084696812881
1,1,1.3304698655130676,0.7960562277859147
2,2,0.8220242279317496,0.9360055031793307
3,3,0.9837850748265264,0.8106156342012473
4,4,1.3449360833435091,0.7529320006691145
5,5,0.878559424880049,0.8123536133491897
6,6,1.1536356837256996,0.7240001415774251
7,7,0.5944605044717834,0.6426684990799283
8,8,0.24790915491590612,0.649067555714514
9,9,0.36032986310548665,0.6760084249623349
10,10,0.6201410525283056,0.6476758826212787
11,11,0.5261902484298105,0.6862322205450351
12,12,0.6544522994495399,0.5256523035774198
13,13,0.6488469238903809,0.5844707091517064
14,14,0.5022562074360767,0.5829424034210945
15,15,0.5977312099465313,0.50233639662134
16,16,0.6150995013467444,0.558768500691638
17,17,0.6289980567761588,0.5254081813212478
18,18,0.7081104840223895,0.5827247911073025
19,19,0.49498594996949014,0.5825532777257815
20,20,0.5241550250925014,0.5952767984786999
21,21,0.5914625340401058,0.5902246553454774
22,22,0.5196705677160323,0.5704307803191443
23,23,0.5671070452650451,0.5568723092996746
24,24,0.5716208412547341,0.5544188832865719
25,25,0.6707278007689091,0.5212369570850351
26,26,0.5194754550017328,0.48519287339341205
27,27,0.32081859053303385,0.47584248572481574
28,28,0.43530835712590665,0.47278973116752326
29,29,0.31255376098611326,0.38819895326025455
30,30,0.2514693248760062,0.3969471396962188
31,31,0.5351192107695684,0.43208980153966187
32,32,0.5694650508984763,0.4439885105306656
33,33,0.4791255329004781,0.38049729565096796
34,34,0.3970801487322715,0.3686157571418474
35,35,0.4423230162742457,0.3627629906581917
36,36,0.49602135643473244,0.3637502052574557
37,37,0.31250426295824074,0.3612794494370768
38,38,0.5601189700575483,0.3658835492657378
39,39,0.4407274476039108,0.38334492382822977
40,40,0.4137467295630159,0.40104189397755313
41,41,0.22832556512268118,0.3926194459317851
42,42,0.3545972488851665,0.3782131208917175
43,43,0.45340416827643043,0.39034103983649765
44,44,0.3595784637572191,0.39568582558615445
45,45,0.5330715243882572,0.4056599665016251
46,46,0.5055896433670781,0.3765444282976466
47,47,0.44012987001022286,0.3701842611075958
48,48,0.3561332875938886,0.46545039345240874
49,49,0.3245585736401061,0.3717519701443078
50,50,0.4554014464388722,0.4253502155315143
51,51,0.28405602787499723,0.34565126691128684
52,52,0.2717843975023244,0.4150062924967806
53,53,0.4904011706398784,0.3619072244824433
54,54,0.33283727409894304,0.3810504997727325
55,55,0.28161096590164747,0.3964487645227963
56,56,0.4135200131669373,0.4384432517442807
57,57,0.26207066006135105,0.5024914166097679
58,58,0.10764836827340944,0.5554080759699941
59,59,0.10837206873109952,0.4758366587759608
60,60,0.34567822024254846,0.4937605711633961
61,61,-0.19897076941536487,0.5866534651280243
62,62,0.0692560459015621,0.5065204281946505
63,63,0.03949097673077966,0.4319176205478588
64,64,-0.40073019630113593,0.3956927431935707
65,65,0.21323588345200975,0.4479470318821983
66,66,-0.17799331902405277,0.3843716659003238
67,67,-0.22330219411668809,0.4263996813823474
68,68,-0.010088808801695,0.4446493525331608
69,69,-0.03373206746668589,0.3254023043763019
70,70,-0.1866177429986997,0.35084795116633843
71,71,-0.034153411886497974,0.3637225029722575
72,72,-0.30691494956037346,0.36252205453916125
73,73,-0.02465679227214605,0.2513146210430332
74,74,-0.048816910077121425,0.23519899658980056
75,75,0.02336518645944172,0.24438546456587626
76,76,-0.016256208577016103,0.24302886544022403
77,77,-0.09584427762219742,0.2220117431284179
78,78,-0.07830127331428371,0.21776271295740846
79,79,-0.07488067063643054,0.278408262770113
80,80,-0.1346495469888439,0.2553698696021648
81,81,-0.16444079619953594,0.2413758780114492
82,82,-0.21638713069613244,0.22023671781468032
83,83,-0.18948038116432286,0.2658223323357282
84,84,-0.2420675187894954,0.27317661434693036
85,85,-0.24777608491245692,0.28960579413152565
86,86,-0.27374395633722926,0.26151795790850546
87,87,-0.3148514481317482,0.27902624873447374
88,88,-0.3472986275633915,0.2962922733343742
89,89,-0.31630169243265144,0.3631849946362537
90,90,-0.3149897013197119,0.4095132688002772
91,91,-0.27475706089464347,0.36996042702643983
92,92,-0.47757446394044617,0.36923096369072356
93,93,-0.32607483230072676,0.38245502672078024
94,94,-0.3657764068252439,0.3640048961821159
95,95,-0.36853998419203315,0.36594648713393946
96,96,-0.35409206717611774,0.41701706509492564
97,97,-0.4557031181125637,0.39078014241091963
98,98,-0.7381775991327587,0.33727830061295955
99,99,-0.3502525287842972,0.44672499937871213
100,100,-0.5383260407446687,0.4363111402750015
101,101,-0.39283287480345197,0.4879368413996024
102,102,-0.43025211306010036,0.48571529205476976
103,103,-0.6950587165610078,0.4337830582585598
104,104,-0.2801813569834506,0.5521227868094216
105,105,-0.4268275720137522,0.5074158916370434
106,106,-0.5061206024633681,0.5219329014238551
107,107,-0.38029908943683566,0.5452254337057384
108,108,-0.5557002059861548,0.5284062366774321
109,109,-0.6783528019921126,0.4915765179592953
110,110,-0.2941864664439656,0.4624219900825079
111,111,-0.4125393256782393,0.3555361915896025
112,112,-0.25808062197244896,0.3161972115315389
113,113,-0.1627161830567355,0.3415918201422054
114,114,-0.07868221050947583,0.3409669341348684
115,115,-0.19103368669300927,0.3777643712144451
116,116,-0.15131696219196555,0.34823582030575667
117,117,-0.13524437988132715,0.36158142562817625
118,118,-0.22791439609018427,0.3665867845805142
119,119,0.06462575999256111,0.36203529707207466
120,120,-0.27339595436788505,0.38299236413255205
121,121,0.08502496126284702,0.3864251565542589
122,122,0.01822388287137043,0.39501828450263954
123,123,0.07042991895773948,0.4464725774220399
